Thu Feb  4 04:42:13 2021
rule_repository_top_k.size(): 30
(diameter,viscera,shell,)=>rings | whole_supp: 8354 | whole_vio: 34 | whole_conf: 0.995930 | Asupp: 10
(height,viscera,shell,)=>diameter | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 10
(diameter,viscera,shell,)=>height | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 10
(length,height,viscera,)=>sex | whole_supp: 8354 | whole_vio: 40 | whole_conf: 0.995212 | Asupp: 10
(length,whole,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 8 | whole_conf: 0.993691 | Asupp: 2
(length,whole,rings=10,)=>height | whole_supp: 1268 | whole_vio: 8 | whole_conf: 0.993691 | Asupp: 2
(diameter,whole,rings=10,)=>height | whole_supp: 1268 | whole_vio: 8 | whole_conf: 0.993691 | Asupp: 2
(whole,viscera,sex=I,)=>length | whole_supp: 2684 | whole_vio: 18 | whole_conf: 0.993294 | Asupp: 7
(diameter,whole,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 10 | whole_conf: 0.992114 | Asupp: 2
(diameter,whole,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 26 | whole_conf: 0.990054 | Asupp: 3
(diameter,height,viscera,)=>sex | whole_supp: 8354 | whole_vio: 84 | whole_conf: 0.989945 | Asupp: 11
(diameter,whole,sex=F,)=>height | whole_supp: 2614 | whole_vio: 28 | whole_conf: 0.989288 | Asupp: 3
(length,height,viscera,)=>rings | whole_supp: 8354 | whole_vio: 90 | whole_conf: 0.989227 | Asupp: 10
(diameter,whole,rings,)=>viscera | whole_supp: 8354 | whole_vio: 90 | whole_conf: 0.989227 | Asupp: 10
(length,whole,sex=M,)=>height | whole_supp: 3056 | whole_vio: 34 | whole_conf: 0.988874 | Asupp: 2
(length,whole,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 36 | whole_conf: 0.988220 | Asupp: 2
(length,whole,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 36 | whole_conf: 0.988220 | Asupp: 2
(length,whole,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 32 | whole_conf: 0.987758 | Asupp: 3
(length,whole,sex=M,)=>viscera | whole_supp: 3056 | whole_vio: 38 | whole_conf: 0.987565 | Asupp: 2
(diameter,whucked,rings,)=>height | whole_supp: 8354 | whole_vio: 108 | whole_conf: 0.987072 | Asupp: 11
(diameter,whole,sex=F,)=>whucked | whole_supp: 2614 | whole_vio: 34 | whole_conf: 0.986993 | Asupp: 3
(diameter,whole,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 34 | whole_conf: 0.986993 | Asupp: 3
(length,height,viscera,)=>shell | whole_supp: 8354 | whole_vio: 110 | whole_conf: 0.986833 | Asupp: 10
